iter	Passed	Remaining
759	3469	1095
760	3474	1091
761	3479	1086
762	3483	1082
763	3488	1077
764	3492	1072
765	3497	1068
766	3501	1063
767	3506	1059
768	3510	1054
769	3515	1049
770	3519	1045
771	3524	1040
772	3528	1036
773	3533	1031
774	3537	1027
775	3542	1022
776	3546	1017
777	3551	1013
778	3555	1008
779	3560	1004
780	3564	999
781	3569	995
782	3573	990
783	3578	985
784	3582	981
785	3587	976
786	3591	972
787	3595	967
788	3600	962
789	3605	958
790	3610	953
791	3614	949
792	3620	944
793	3624	940
794	3629	935
795	3634	931
796	3639	926
797	3643	922
798	3648	917
799	3653	913
800	3665	910
801	3671	906
802	3678	902
803	3682	897
804	3687	893
805	3692	888
806	3697	884
807	3701	879
808	3705	874
809	3710	870
810	3714	865
811	3719	861
812	3724	856
813	3728	852
814	3733	847
815	3737	842
816	3742	838
817	3747	833
818	3751	829
819	3756	824
820	3760	819
821	3765	815
822	3769	810
823	3774	806
824	3778	801
825	3783	796
826	3787	792
827	3792	787
828	3796	783
829	3800	778
830	3804	773
831	3809	769
832	3813	764
833	3817	759
834	3823	755
835	3827	750
836	3831	746
837	3836	741
838	3840	736
839	3844	732
840	3848	727
841	3852	722
842	3856	718
843	3861	713
844	3866	709
845	3870	704
846	3874	699
847	3878	695
848	3882	690
849	3886	685
850	3891	681
851	3895	676
852	3899	672
853	3903	667
854	3907	662
855	3912	658
856	3916	653
857	3920	648
858	3924	644
859	3928	639
860	3932	634
861	3936	630
862	3940	625
863	3944	620
864	3948	616
865	3952	611
866	3957	607
867	3961	602
868	3965	597
869	3969	593
870	3973	588
871	3977	583
872	3982	579
873	3986	574
874	3990	570
875	3994	565
876	3999	560
877	4003	556
878	4007	551
879	4011	547
880	4016	542
881	4020	537
882	4024	533
883	4029	528
884	4033	524
885	4038	519
886	4042	514
887	4046	510
888	4051	505
889	4055	501
890	4059	496
891	4064	492
892	4068	487
893	4074	483
894	4079	478
895	4083	474
896	4088	469
897	4092	464
898	4096	460
899	4101	455
900	4105	451
901	4110	446
902	4114	441
903	4118	437
904	4123	432
905	4127	428
906	4131	423
907	4136	419
908	4141	414
909	4145	410
910	4150	405
911	4154	400
912	4158	396
913	4163	391
914	4168	387
915	4173	382
916	4178	378
917	4184	373
918	4188	369
919	4193	364
920	4198	360
921	4202	355
922	4207	350
923	4212	346
924	4217	341
925	4222	337
926	4227	332
927	4231	328
928	4236	323
929	4241	319
930	4246	314
931	4251	310
932	4256	305
933	4260	301
934	4265	296
935	4270	291
936	4275	287
937	4280	282
938	4285	278
939	4290	273
940	4295	269
941	4300	264
942	4305	260
943	4310	255
944	4315	251
945	4319	246
946	4324	242
947	4329	237
948	4334	232
949	4339	228
950	4344	223
951	4349	219
952	4354	214
953	4359	210
954	4363	205
955	4368	201
956	4373	196
957	4378	191
958	4382	187
959	4388	182
960	4392	178
961	4397	173
962	4401	169
963	4405	164
964	4410	159
965	4414	155
966	4419	150
967	4424	146
968	4428	141
969	4433	137
970	4437	132
971	4442	127
972	4447	123
973	4451	118
974	4455	114
975	4460	109
976	4464	105
977	4468	100
978	4473	95
979	4478	91
980	4482	86
981	4487	82
982	4491	77
983	4496	73
984	4501	68
985	4505	63
986	4510	59
987	4515	54
988	4520	50
989	4524	45
990	4529	41
991	4534	36
992	4539	31
993	4544	27
994	4549	22
995	4554	18
996	4559	13
997	4563	9
998	4568	4
999	4573	0
